id,player_name,game_id,profile,created_at,duration_sec,btn_press_rate,btn_variety,btn_hold_avg_ms,lx_mean,ly_mean,lx_std,ly_std,lx_direction_changes,rx_mean,ry_mean,rx_std,ry_std,lt_mean,rt_mean,lt_brutality,rt_brutality,reaction_time_avg_ms,input_regularity,score,source
0b3fd7a8-1e4d-4884-994a-8c03c95746fd,Alice,labyrinth,Explorateur,2026-02-03T15:28:00,93.853,0.00011,0.0,0.792136,0.029408,0.0,0.55828,0.367765,0.002169,0.0,0.000153,0.0,0.0,0.0,1e-06,1e-06,0.0,0.0,0.0,390,keyboard
1e068da1-5e51-45a8-86cf-9e019c2a4d50,Alice,labyrinth,Explorateur,2026-02-24T20:51:00,87.808,0.0,0.000605,4.011771,0.00059,0.023818,0.518891,0.418719,0.0,0.0,0.0,0.000147,0.001032,0.0,0.0,0.0,0.0,0.0,0.837859,735,keyboard
cbe4fd6e-ad7d-4fc0-9f77-9bc7b5d212e1,Alice,labyrinth,Explorateur,2026-03-01T03:50:00,91.617,0.000132,0.0,3.457619,0.012625,0.018309,0.413297,0.424246,0.010988,0.0,0.000309,0.0,0.001615,0.0,0.0,1e-06,0.0,0.0,0.0,828,keyboard
6f20b8e0-cc44-43ef-bfdc-8fead1d92bd9,Alice,shooter,Sniper,2026-02-07T18:02:00,57.337,0.128699,0.225496,25454.060465,0.0,0.016402,0.43622,0.580415,0.073248,0.0,0.0,0.059562,0.054556,1e-06,0.0,0.0,0.0,0.0,2.02748,3606,keyboard
b47f3ea4-6153-46a6-9c5f-58822ae3d86b,Alice,shooter,Sniper,2026-02-22T02:02:00,56.724,0.183296,0.27339,11572.551571,0.059211,0.012548,0.514564,0.475783,0.125718,0.0,0.000484,0.003848,0.035052,0.0,2e-06,1e-06,0.0,0.0,3.681386,7615,keyboard
ab39e856-62a1-45f3-90db-12753ea2f6dc,Alice,shooter,Sniper,2026-02-04T05:16:00,66.417,0.251916,0.197321,9058.267821,0.133695,0.013368,0.489011,0.540085,0.0,0.001178,0.0,0.036439,0.058789,0.0,1e-06,0.0,1e-06,0.0,5.833393,5059,keyboard
39b0aa8e-42f8-402a-9ef8-3e545b06a311,Alice,reflex,Hésitant,2026-02-03T01:00:00,50.085,0.141108,0.230363,180.8435,0.010444,0.00125,0.0,0.001873,0.000804,0.0,0.0,0.0,0.0,0.020378,0.0,2e-06,0.0,0.0,4.975074,159,keyboard
9dcbf95b-43af-4d32-9533-f0904f6063a4,Alice,reflex,Hésitant,2026-02-24T04:26:00,43.945,0.330499,0.248849,140.775022,0.000704,0.0,9.9e-05,0.003806,0.001023,0.0,0.0,1e-06,0.0,0.00865,0.000953,0.0,0.0,0.0,2.261009,454,keyboard
aaa80ac4-17a8-43d1-af35-33dceb4ae411,Alice,reflex,Hésitant,2026-02-25T02:19:00,75.451,0.197458,0.312785,131.530606,0.008738,0.008039,0.000107,0.000215,0.000229,0.0,0.0,0.0,0.0,0.028411,0.00073,1e-06,1e-06,0.0,1.8406,0,keyboard
c16febd9-0e70-466d-8ed5-ab64ff21da81,Alice,racing,Pilote maîtrisé,2026-02-10T01:48:00,119.859,0.0022,0.0,1.26233,0.012,0.0,0.495278,0.69758,0.013287,0.0,0.0,0.0,1e-06,0.0,1e-06,0.0,0.0,0.0,0.071872,3732,keyboard
